sample,elapsed_s,system_unix,rtc_unix,drift_s
103,6239.99,1782133665.0022,1782133665.0,0.002178
104,6299.99,1782133725.0039,1782133725.0,0.00388
105,6359.99,1782133785.0066,1782133785.0,0.006601
106,6419.99,1782133845.0081,1782133845.0,0.008146
107,6480.0,1782133905.0115,1782133905.0,0.011451
108,6540.0,1782133965.0124,1782133965.0,0.01242
109,6600.0,1782134025.0153,1782134025.0,0.015274
110,6660.0,1782134085.0169,1782134085.0,0.016857
111,6720.0,1782134145.0182,1782134145.0,0.018173
112,6779.98,1782134204.9975,1782134205.0,-0.002513
113,6839.99,1782134264.9999,1782134265.0,-0.000149
114,6899.99,1782134325.0019,1782134325.0,0.001905
115,6959.99,1782134385.0034,1782134385.0,0.003429
116,7019.99,1782134445.0047,1782134445.0,0.004666
117,7079.99,1782134505.0076,1782134505.0,0.007623
118,7139.99,1782134565.0089,1782134565.0,0.008898
119,7200.0,1782134625.0112,1782134625.0,0.011249
120,7260.0,1782134685.0133,1782134685.0,0.013324
121,7320.0,1782134745.0149,1782134745.0,0.014914
122,7380.0,1782134805.017,1782134805.0,0.017
123,7439.98,1782134864.9978,1782134865.0,-0.002234
124,7499.99,1782134924.9998,1782134925.0,-0.000194
125,7559.99,1782134985.0019,1782134985.0,0.00186
126,7619.99,1782135045.0028,1782135045.0,0.002765
127,7679.99,1782135105.0043,1782135105.0,0.004291
128,7739.99,1782135165.0064,1782135165.0,0.006377
129,7799.99,1782135225.0088,1782135225.0,0.008781
130,7860.0,1782135285.0104,1782135285.0,0.010352
131,7920.0,1782135345.0119,1782135345.0,0.011878
132,7980.0,1782135405.0149,1782135405.0,0.014903
133,8040.0,1782135465.0165,1782135465.0,0.016497
134,8099.98,1782135524.9974,1782135525.0,-0.002554
135,8159.99,1782135584.9999,1782135585.0,-9.9e-05
136,8219.99,1782135645.0025,1782135645.0,0.00254
137,8279.99,1782135705.0046,1782135705.0,0.004551
138,8339.99,1782135765.006,1782135765.0,0.006009
139,8399.99,1782135825.009,1782135825.0,0.008983
140,8460.0,1782135885.0105,1782135885.0,0.010463
141,8520.0,1782135945.0134,1782135945.0,0.013415
142,8580.0,1782136005.0151,1782136005.0,0.015122
143,8640.0,1782136065.0178,1782136065.0,0.017829
144,8700.01,1782136125.02,1782136125.0,0.019992
145,8759.98,1782136184.9988,1782136185.0,-0.001177
146,8819.99,1782136245.0,1782136245.0,2.5e-05
147,8879.99,1782136305.0031,1782136305.0,0.003103
148,8939.99,1782136365.0045,1782136365.0,0.004521
149,8999.99,1782136425.0081,1782136425.0,0.008123
150,9059.99,1782136485.0093,1782136485.0,0.009334
151,9120.0,1782136545.0119,1782136545.0,0.011881
152,9180.0,1782136605.0141,1782136605.0,0.014076
153,9240.0,1782136665.0175,1782136665.0,0.01747
154,9300.01,1782136725.0202,1782136725.0,0.020153
155,9360.01,1782136785.0215,1782136785.0,0.0215
156,9419.98,1782136844.9979,1782136845.0,-0.002099
157,9479.99,1782136905.0009,1782136905.0,0.0009
158,9539.99,1782136965.0034,1782136965.0,0.003413
159,9599.99,1782137025.0064,1782137025.0,0.006426
160,9659.99,1782137085.0085,1782137085.0,0.008527
161,9720.0,1782137145.011,1782137145.0,0.011005
162,9780.0,1782137205.0126,1782137205.0,0.012646
163,9840.0,1782137265.0166,1782137265.0,0.016617
164,9900.0,1782137325.0183,1782137325.0,0.018267
165,9960.01,1782137385.0212,1782137385.0,0.021198
166,10019.98,1782137444.9956,1782137445.0,-0.004444
167,10079.98,1782137504.9979,1782137505.0,-0.002146
168,10139.99,1782137565.0015,1782137565.0,0.001465
169,10199.99,1782137625.0029,1782137625.0,0.00294
170,10259.99,1782137685.0065,1782137685.0,0.006473
171,10319.99,1782137745.0084,1782137745.0,0.008398
172,10380.0,1782137805.0119,1782137805.0,0.011936
173,10440.0,1782137865.0142,1782137865.0,0.014239
174,10500.0,1782137925.0166,1782137925.0,0.016639
175,10560.0,1782137985.0189,1782137985.0,0.018919
176,10620.01,1782138045.0203,1782138045.0,0.020349
177,10679.98,1782138104.9958,1782138105.0,-0.004242
178,10739.98,1782138164.9982,1782138165.0,-0.001756
179,10799.99,1782138225.0007,1782138225.0,0.000692
180,10859.99,1782138285.004,1782138285.0,0.003958
